Customer_ID,Age,Gender,City,Product_Category,Purchase_Amount,Payment_Method,Rating,Purchase_Date
CUST10000,56,Male,Delhi,Electronics,42865.85,Credit Card,5,17-08-2022
CUST10001,69,Prefer Not to Say,Mumbai,Groceries,5779.31,UPI,5,21-02-2022
CUST10002,46,Female,Hyderabad,Clothing,28108.84,Credit Card,5,18-07-2023
CUST10003,32,Female,Mumbai,Electronics,40533.17,Cash,4,17-05-2023
CUST10004,60,Female,Pune,Electronics,6846.72,Cash,2,03-04-2023
CUST10005,25,Male,Pune,Home Decor,5426.36,Debit Card,5,13-10-2022
CUST10006,38,Male,Delhi,Home Decor,40938.63,Cash,1,29-07-2022
CUST10007,56,Prefer Not to Say,Pune,Electronics,39938.43,UPI,3,28-06-2022
CUST10008,36,Female,Hyderabad,Clothing,22710.31,UPI,1,14-05-2024
CUST10009,40,Male,Bangalore,Groceries,5930.7,Credit Card,1,07-03-2022
CUST10010,28,Prefer Not to Say,Pune,Electronics,26048.1,Debit Card,5,03-03-2022
CUST10011,28,Female,Mumbai,Electronics,20042.76,Cash,1,11-07-2022
CUST10012,41,Male,Hyderabad,Electronics,26168.1,Credit Card,1,24-03-2023
CUST10013,53,Female,Pune,Home Decor,22274.81,Cash,2,22-04-2023
CUST10014,57,Female,Pune,Clothing,28641.46,UPI,3,31-10-2024
CUST10015,41,Male,Hyderabad,Electronics,36492.92,UPI,4,24-02-2022
CUST10016,20,Male,Pune,Home Decor,38855.57,Debit Card,5,12-02-2023
CUST10017,39,Male,Bangalore,Electronics,32624.62,Cash,5,09-05-2024
CUST10018,19,Female,Delhi,Electronics,10347.56,Cash,1,28-03-2023
CUST10019,41,Female,Hyderabad,Clothing,20157.59,UPI,4,08-07-2024
CUST10020,61,Prefer Not to Say,Mumbai,Home Decor,4025.59,Debit Card,4,24-07-2023
CUST10021,47,Female,Pune,Groceries,22857.85,Credit Card,4,14-01-2022
CUST10022,55,Male,Delhi,Clothing,48531.8,Debit Card,5,23-11-2022
CUST10023,19,Female,Mumbai,Groceries,32265.67,Credit Card,5,15-05-2024
CUST10024,38,Prefer Not to Say,Mumbai,Home Decor,8153.32,Credit Card,2,28-11-2023
CUST10025,50,Prefer Not to Say,Bangalore,Home Decor,13794.59,UPI,5,24-07-2023
CUST10026,29,Male,Delhi,Groceries,3696.4,Credit Card,5,15-11-2022
CUST10027,39,Male,Hyderabad,Home Decor,9529.49,Cash,2,17-03-2023
CUST10028,61,Prefer Not to Say,Delhi,Clothing,24648.16,UPI,5,21-11-2023
CUST10029,42,Prefer Not to Say,Delhi,Electronics,17570.39,Debit Card,1,29-07-2022
CUST10030,66,Prefer Not to Say,Mumbai,Groceries,10596.13,Debit Card,1,09-07-2022
CUST10031,44,Male,Bangalore,Electronics,7756.62,Credit Card,2,18-02-2024
CUST10032,59,Prefer Not to Say,Bangalore,Groceries,32975.52,Cash,2,18-07-2022
CUST10033,45,Prefer Not to Say,Delhi,Electronics,28126.07,Debit Card,1,06-01-2024
CUST10034,33,Male,Delhi,Electronics,42210.7,Credit Card,4,06-12-2023
CUST10035,32,Female,Pune,Clothing,9571.02,Debit Card,5,26-06-2023
CUST10036,64,Female,Mumbai,Electronics,42475.28,Cash,3,30-03-2022
CUST10037,68,Prefer Not to Say,Hyderabad,Groceries,29106.6,Credit Card,3,29-07-2024
CUST10038,61,Female,Hyderabad,Electronics,13678.05,Cash,2,13-09-2022
CUST10039,69,Female,Bangalore,Home Decor,14040.88,Credit Card,3,15-02-2024
CUST10040,20,Female,Mumbai,Electronics,19823.83,Cash,4,11-06-2022
CUST10041,54,Female,Bangalore,Electronics,23276.3,Debit Card,3,24-08-2023
CUST10042,68,Prefer Not to Say,Hyderabad,Home Decor,4584,Debit Card,1,11-01-2024
CUST10043,24,Female,Delhi,Home Decor,42178.96,Cash,2,29-01-2023
CUST10044,38,Female,Mumbai,Groceries,6516.28,Debit Card,3,23-05-2022
CUST10045,26,Male,Mumbai,Home Decor,24431.26,Debit Card,5,04-04-2022
CUST10046,56,Prefer Not to Say,Pune,Home Decor,19456.93,Credit Card,2,12-04-2023
CUST10047,35,Male,Delhi,Groceries,25858.21,Cash,4,16-08-2023
CUST10048,21,Male,Delhi,Groceries,44430.38,Credit Card,1,13-06-2022
CUST10049,42,Prefer Not to Say,Bangalore,Electronics,49459.87,Debit Card,3,22-04-2023
CUST10050,31,Female,Mumbai,Clothing,1503.43,Debit Card,1,26-07-2022
CUST10051,67,Male,Bangalore,Groceries,19965.35,UPI,4,18-02-2024
CUST10052,26,Prefer Not to Say,Delhi,Home Decor,40971.72,Cash,3,24-07-2023
CUST10053,43,Female,Pune,Electronics,16666.84,Cash,2,17-07-2024
CUST10054,19,Prefer Not to Say,Mumbai,Home Decor,32627.29,Credit Card,2,18-01-2024
CUST10055,37,Male,Delhi,Groceries,49616.83,Cash,5,30-11-2022
CUST10056,45,Female,Pune,Clothing,32515.18,Credit Card,4,29-01-2024
CUST10057,64,Female,Hyderabad,Electronics,6003.97,Debit Card,3,29-12-2023
CUST10058,24,Prefer Not to Say,Delhi,Groceries,42225.13,UPI,1,06-03-2023
CUST10059,61,Female,Hyderabad,Groceries,48349.54,Debit Card,1,01-07-2023
CUST10060,25,Male,Bangalore,Home Decor,35769.17,Credit Card,3,27-05-2022
CUST10061,64,Male,Hyderabad,Clothing,21243.87,Credit Card,4,17-12-2022
CUST10062,52,Male,Delhi,Groceries,47445.81,UPI,4,29-12-2024
CUST10063,31,Prefer Not to Say,Hyderabad,Home Decor,48444.31,Debit Card,1,17-05-2023
CUST10064,34,Female,Mumbai,Electronics,46788.28,Cash,3,01-12-2022
CUST10065,53,Female,Delhi,Home Decor,20885.04,UPI,3,04-08-2024
CUST10066,67,Female,Pune,Electronics,39590.53,Cash,1,17-02-2024
CUST10067,57,Male,Hyderabad,Home Decor,32881.88,Debit Card,3,07-07-2023
CUST10068,21,Female,Mumbai,Clothing,9395.48,UPI,3,26-03-2023
CUST10069,19,Male,Bangalore,Home Decor,27007.99,Debit Card,2,27-10-2023
CUST10070,23,Female,Bangalore,Clothing,37510.7,Debit Card,2,25-04-2022
CUST10071,59,Male,Hyderabad,Clothing,44847.66,Cash,5,15-04-2023
CUST10072,21,Female,Bangalore,Electronics,43198.62,Cash,5,07-03-2022
CUST10073,46,Prefer Not to Say,Pune,Home Decor,8155.6,Cash,4,09-10-2023
CUST10074,35,Prefer Not to Say,Delhi,Home Decor,24657.65,Debit Card,2,01-04-2024
CUST10075,43,Male,Mumbai,Home Decor,24174.3,Credit Card,2,03-07-2023
CUST10076,61,Male,Hyderabad,Clothing,44987.48,Debit Card,2,16-05-2022
CUST10077,51,Female,Bangalore,Groceries,595.9,Credit Card,2,09-03-2023
CUST10078,27,Female,Delhi,Home Decor,37066.32,UPI,4,07-10-2023
CUST10079,53,Prefer Not to Say,Pune,Home Decor,31122.76,Cash,1,12-03-2023
CUST10080,31,Female,Bangalore,Groceries,46117.79,Cash,4,19-10-2024
CUST10081,48,Male,Bangalore,Electronics,23117.41,Debit Card,1,21-03-2024
CUST10082,65,Male,Mumbai,Home Decor,33054.78,Credit Card,5,28-07-2024
CUST10083,32,Male,Pune,Groceries,48650.98,UPI,2,20-10-2022
CUST10084,25,Male,Pune,Home Decor,37323.24,Debit Card,1,27-06-2023
CUST10085,31,Male,Hyderabad,Clothing,3835.51,UPI,4,13-10-2022
CUST10086,40,Prefer Not to Say,Mumbai,Groceries,8792.91,Credit Card,1,21-05-2023
CUST10087,57,Prefer Not to Say,Hyderabad,Clothing,41161.83,Cash,3,23-06-2023
CUST10088,38,Male,Mumbai,Groceries,17072.38,Cash,5,27-05-2024
CUST10089,33,Female,Pune,Electronics,35442.95,Credit Card,5,28-03-2024
CUST10090,62,Male,Mumbai,Clothing,35141.27,Cash,2,12-01-2024
CUST10091,35,Prefer Not to Say,Mumbai,Home Decor,49688.18,Debit Card,2,26-03-2023
CUST10092,64,Male,Mumbai,Groceries,23758.7,Credit Card,4,11-10-2022
CUST10093,41,Prefer Not to Say,Delhi,Home Decor,37022.7,Cash,1,09-11-2024
CUST10094,43,Prefer Not to Say,Delhi,Electronics,2913.27,Credit Card,3,07-10-2024
CUST10095,42,Male,Pune,Groceries,23398.26,UPI,5,06-07-2022
CUST10096,62,Male,Mumbai,Electronics,9740.74,Debit Card,1,07-04-2022
CUST10097,58,Female,Pune,Groceries,42108.29,Debit Card,3,13-08-2022
CUST10098,46,Prefer Not to Say,Delhi,Clothing,42075.46,Debit Card,1,10-11-2022
CUST10099,32,Female,Mumbai,Home Decor,12200.04,Cash,2,24-11-2022
CUST10100,62,Male,Hyderabad,Clothing,16255.12,UPI,5,14-05-2024
CUST10101,18,Prefer Not to Say,Delhi,Clothing,35272.65,Cash,3,11-05-2022
CUST10102,42,Female,Delhi,Clothing,37044.16,Cash,2,28-02-2024
CUST10103,24,Female,Delhi,Clothing,33052.76,Credit Card,4,21-02-2024
CUST10104,26,Female,Mumbai,Groceries,49836.38,Debit Card,4,16-08-2024
CUST10105,41,Male,Bangalore,Home Decor,43499.82,Cash,2,19-12-2024
CUST10106,18,Male,Hyderabad,Groceries,21144.41,Debit Card,3,30-05-2023
CUST10107,61,Male,Hyderabad,Groceries,16685.35,UPI,3,24-01-2022
CUST10108,25,Prefer Not to Say,Pune,Groceries,30044.06,UPI,5,23-08-2022
CUST10109,41,Male,Mumbai,Clothing,40973,Debit Card,2,01-07-2023
CUST10110,28,Prefer Not to Say,Delhi,Electronics,24029.5,Debit Card,4,28-11-2023
CUST10111,68,Female,Bangalore,Clothing,37015.78,UPI,2,17-08-2022
CUST10112,34,Female,Mumbai,Groceries,1448.42,UPI,1,25-08-2023
CUST10113,25,Male,Mumbai,Clothing,46329.09,Cash,3,09-06-2024
CUST10114,52,Female,Bangalore,Home Decor,38804.82,UPI,1,20-11-2022
CUST10115,52,Male,Delhi,Home Decor,20012.41,Cash,4,18-07-2024
CUST10116,50,Prefer Not to Say,Mumbai,Clothing,19508.61,UPI,3,07-01-2022
CUST10117,22,Female,Hyderabad,Clothing,5592.9,Cash,4,24-06-2023
CUST10118,59,Male,Hyderabad,Electronics,40899.61,Credit Card,4,22-10-2024
CUST10119,56,Female,Bangalore,Clothing,38547.16,Credit Card,4,01-01-2023
CUST10120,58,Female,Delhi,Clothing,31697.36,Cash,5,05-11-2024
CUST10121,45,Male,Bangalore,Electronics,5522.1,Debit Card,4,06-08-2022
CUST10122,24,Female,Mumbai,Clothing,13485.9,Credit Card,4,04-09-2023
CUST10123,26,Female,Hyderabad,Clothing,23216.27,UPI,1,05-11-2024
CUST10124,25,Female,Pune,Clothing,13665.61,Debit Card,1,12-02-2023
CUST10125,29,Female,Bangalore,Clothing,21981.71,UPI,1,10-11-2022
CUST10126,51,Prefer Not to Say,Pune,Clothing,11684.9,Credit Card,3,05-02-2024
CUST10127,50,Female,Pune,Groceries,17805.22,UPI,5,27-11-2022
CUST10128,65,Female,Hyderabad,Clothing,32788.7,Cash,3,22-12-2024
CUST10129,40,Male,Bangalore,Electronics,44671.87,Debit Card,5,02-01-2022
CUST10130,41,Prefer Not to Say,Pune,Clothing,19559.02,Credit Card,5,26-10-2023
CUST10131,54,Male,Mumbai,Groceries,34749.46,Debit Card,2,27-09-2024
CUST10132,52,Male,Delhi,Electronics,7172.26,Cash,2,09-02-2022
CUST10133,61,Male,Delhi,Electronics,27270.49,Credit Card,2,18-08-2022
CUST10134,57,Prefer Not to Say,Hyderabad,Clothing,46124.36,UPI,5,14-01-2024
CUST10135,39,Male,Bangalore,Home Decor,1882.82,Debit Card,5,22-09-2023
CUST10136,44,Male,Bangalore,Groceries,13744.09,Credit Card,3,06-05-2023
CUST10137,52,Male,Delhi,Home Decor,7058.43,Credit Card,5,29-04-2022
